"Q22_6","Q24_1","Q25_1","Q26_1","Q27_1","Q28_1","Q29_1","Q30_1","Q1_1","Q1_2","Q1_3","Q1_4","Q1_5","Q1_6","Q1_7","Q1_8","Q1_9","Q1_10","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q2_7","Q2_8","Q2_9","Q2_10","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q4_1","Q4_2","Q4_4","Q4_5","Q4_6","Q4_7","Q4_8","Q4_9","Q4_10","Q4_11","Q4_12","Q4_13","Q31_1","Q32_1","Q33_1","Q34_1","Q39_1","Q40_1","Q41_1","Q42_1","Q43_2","Q44_1","Q46_1","Q53_1","Q53_2","Q48","Q54_1","Q54_2","Q54_3","Q54_4","Q54_5","Q54_6","Q54_7","Q54_8","Q54_9","Q54_10","Q54_11","Q54_12","Q55","Q56","Q57","Q57_11_TEXT","Q57_12_TEXT","Q58","Q37","Q51","Q59","Q38","survey_administered","survey_duration_num"
"Much less damaging to the environment","More nutritious","More variable in nutritional content","Much lower cost","A higher disease risk","Has higher microbiological safety","Neither higher nor lower chemical safety","Much more ethical","Neither positive nor negative","Very positive","Neither positive nor negative","Positive","Very positive","Very positive","Very negative","Neither positive nor negative","Positive","Neither positive nor negative","Neither comfortable nor uncomfortable","Very comfortable","Uncomfortable","Uncomfortable","Very comfortable","Very comfortable","Very uncomfortable","Neither comfortable nor uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Neither satisfied nor dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Very satisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Totally agree","Totally agree","Totally agree","Agree","Totally agree","Neither agree nor disagree","Agree","Disagree","Disagree","Neither agree nor disagree","Agree","","Faster growth rates","","Neither higher nor lower welfare","Much lower feed costs","Much better for the environment","","Neither lighter nor darker in colour","","","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Probably yes","Important","Very Important","Important","Very Important","Important","Important","Important","Important","Very Important","Very Important","Important","Important","Female","31-50","Pig farmer/pig farm manager","","","5000+","No","Probably yes","Wet feeding","Yes","electronic",35
"Neither more nor less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Lower cost","A much higher disease risk","Has lower microbiological safety","","More ethical","Very negative","Positive","Negative","Neither positive nor negative","Negative","Positive","Very negative","Negative","Positive","Negative","Very uncomfortable","Comfortable","Very uncomfortable","Uncomfortable","Very uncomfortable","Comfortable","Very uncomfortable","Very uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Very dissatisfied","Satisfied","Very dissatisfied","Dissatisfied","Very dissatisfied","Satisfied","Very dissatisfied","Very dissatisfied","Satisfied","Dissatisfied","","Agree","Agree","Agree","Agree","Disagree","Totally agree","Agree","Agree","Totally agree","Agree","Disagree","Slower growth rates","Higher feed conversion ratios (less efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Might or might not","Very Important","Not at all important","Very Important","Very Important","Very Important","Important","Very Important","Not important","Important","Important","Very Important","Important","Female","19-30","Agricultural advisor","","","","","","","","electronic",22
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has higher chemical safety","More ethical","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very positive","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Very satisfied","Agree","Totally agree","Agree","Neither agree nor disagree","Agree","Agree","Totally disagree","Disagree","Disagree","Disagree","Totally agree","Totally agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Neither better nor worse for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Very Important","Very Important","Important","Important","Very Important","Very Important","Very Important","Not at all important","Very Important","Neither important nor unimportant","Important","Male","50+","Poultry farmer/poultry farm manager","","","","","","","","electronic",16
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Lower cost","A lower disease risk","Has lower microbiological safety","Neither higher nor lower chemical safety","More ethical","Positive","Positive","Positive","Positive","Positive","Very positive","Positive","Positive","Negative","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Uncomfortable","Comfortable","Satisfied","Satisfied","Satisfied","Dissatisfied","Dissatisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Satisfied","Agree","Agree","Agree","Agree","Totally agree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Disagree","Neither faster nor slower growth rates","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","","","Neither better nor worse smelling","Less marketable","More profitable","Probably yes","Definitely not","Definitely yes","Important","Very Important","Important","Very Important","Important","Very Important","Very Important","Important","Not important","Important","Important","Important","Male","50+","Trader","","","","","","","","electronic",21
"Less damaging to the environment","Less nutritious","Much more variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has lower chemical safety","More ethical","Positive","Positive","Very positive","Negative","Negative","Positive","Very negative","Very negative","Positive","Neither positive nor negative","Comfortable","Very comfortable","Comfortable","Very uncomfortable","Neither comfortable nor uncomfortable","Very comfortable","Very uncomfortable","Uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Satisfied","Very satisfied","Satisfied","Very dissatisfied","Dissatisfied","Very satisfied","Dissatisfied","Very dissatisfied","Very satisfied","Neither satisfied nor dissatisfied","Totally agree","Totally agree","Totally agree","Agree","","Agree","Disagree","Disagree","Neither agree nor disagree","Neither agree nor disagree","Totally agree","Disagree","Slower growth rates","","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","Neither lighter nor darker in colour","More tasty","Neither better nor worse smelling","Less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Neither important nor unimportant","Not at all important","Important","Very Important","Very Important","Important","Very Important","Not important","Neither important nor unimportant","Very Important","Important","Important","Male","50+","Other: involved in the animal industry","Farmer,salesman","","","","","","","electronic",28
"More damaging to the environment","Less nutritious","More variable in nutritional content","Costs the same","A much higher disease risk","Has lower microbiological safety","Has much lower chemical safety","Much less ethical","Negative","Neither positive nor negative","Neither positive nor negative","Very negative","Neither positive nor negative","Positive","Very negative","Very negative","Neither positive nor negative","Very negative","Very uncomfortable","Neither comfortable nor uncomfortable","Very uncomfortable","Very uncomfortable","Neither comfortable nor uncomfortable","Comfortable","Very uncomfortable","Very uncomfortable","Comfortable","Very uncomfortable","Very dissatisfied","Satisfied","Very dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Satisfied","Very dissatisfied","Very dissatisfied","Neither satisfied nor dissatisfied","Very dissatisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","","Agree","Slower growth rates","Higher feed conversion ratios (less efficient)","Lower welfare","Lower feed costs","","More fatty","","","","Much less marketable","More profitable","Probably not","Definitely yes","Definitely not","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Male","50+","Pig farmer/pig farm manager","","","5000+","No","Definitely not","Dry feeding","Yes","electronic",41
"Less damaging to the environment","More nutritious","More variable in nutritional content","Lower cost","A lower disease risk","Has higher microbiological safety","Has higher chemical safety","More ethical","Negative","Positive","Neither positive nor negative","Positive","Negative","Positive","Negative","Positive","Positive","Neither positive nor negative","Neither comfortable nor uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Comfortable","Comfortable","Neither comfortable nor uncomfortable","Dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Satisfied","Neither satisfied nor dissatisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Neither satisfied nor dissatisfied","Agree","Agree","Agree","Agree","Neither agree nor disagree","Disagree","Disagree","Agree","Disagree","Agree","Agree","Neither agree nor disagree","Faster growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Very Important","Very Important","Important","Very Important","Very Important","Very Important","Important","Important","Neither important nor unimportant","Important","Important","Very Important","Male","50+","Other: involved in the animal industry","Vet in pharmacy","","","","","","","electronic",51
"Much less damaging to the environment","More nutritious","More variable in nutritional content","Much lower cost","A lower disease risk","Has lower microbiological safety","Has lower chemical safety","Much more ethical","Positive","Very positive","Positive","Positive","Positive","Very positive","Positive","Positive","Positive","Positive","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Very satisfied","Satisfied","Satisfied","Very satisfied","Very satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Totally agree","Totally agree","Totally agree","Totally agree","Agree","Agree","Disagree","Disagree","Disagree","Disagree","Totally agree","Agree","Faster growth rates","","Higher welfare","Much lower feed costs","Much better for the environment","","","","Better smelling","More marketable","More profitable","Definitely yes","Definitely not","Definitely yes","Important","Important","Important","Very Important","Very Important","Neither important nor unimportant","Very Important","Not important","Very Important","Very Important","Very Important","Very Important","Male","50+","Poultry farmer/poultry farm manager","","","","","","","","electronic",52
"Less damaging to the environment","Neither more or less nutritious","Neither more or less variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Neither higher nor lower microbiological safety","Has lower chemical safety","Neither more or less ethical","Positive","Positive","Positive","Positive","Neither positive nor negative","Positive","Negative","Neither positive nor negative","Positive","Neither positive nor negative","Neither comfortable nor uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Comfortable","Uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Neither comfortable nor uncomfortable","Comfortable","Neither comfortable nor uncomfortable","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Agree","Agree","Agree","Agree","Totally agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Agree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Definitely yes","Probably not","Probably yes","Important","Neither important nor unimportant","Neither important nor unimportant","Important","Important","Important","Important","Neither important nor unimportant","Important","Neither important nor unimportant","Important","Important","Female","50+","Other: involved in the animal industry","Sales","","","","","","","electronic",51
"Much more damaging to the environment","Less nutritious","More variable in nutritional content","Much lower cost","A much higher disease risk","Has lower microbiological safety","Has lower chemical safety","Less ethical","Negative","Positive","Negative","Neither positive nor negative","Positive","Positive","Very negative","Negative","Positive","Negative","Very uncomfortable","Comfortable","Very uncomfortable","Very uncomfortable","Comfortable","Very comfortable","Very uncomfortable","Very uncomfortable","Comfortable","Uncomfortable","Very dissatisfied","Very satisfied","Very dissatisfied","Very dissatisfied","Satisfied","Satisfied","Very dissatisfied","Very dissatisfied","Satisfied","Very dissatisfied","Disagree","Agree","Neither agree nor disagree","Totally agree","Agree","Disagree","Totally agree","Agree","Totally agree","Totally agree","Totally agree","Neither agree nor disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","More tasty","Neither better nor worse smelling","Less marketable","More profitable","Probably not","Definitely not","Definitely yes","Not important","Not important","Important","Very Important","Important","Neither important nor unimportant","Important","Not important","Important","Important","Very Important","Important","Male","50+","Pig farmer/pig farm manager","","","5000+","No","Definitely not","Wet feeding","Yes","electronic",17
"Less damaging to the environment","Less nutritious","Much more variable in nutritional content","Much lower cost","A much higher disease risk","Neither higher nor lower microbiological safety","Has higher chemical safety","Neither more or less ethical","Very negative","Positive","Very negative","Very negative","Very negative","Positive","Very negative","Very negative","Neither positive nor negative","Very negative","Very uncomfortable","Comfortable","Very uncomfortable","Very uncomfortable","Very uncomfortable","Comfortable","Very uncomfortable","Very uncomfortable","Uncomfortable","Very uncomfortable","Very dissatisfied","Satisfied","Very dissatisfied","Very dissatisfied","Very dissatisfied","Satisfied","Very dissatisfied","Very dissatisfied","Dissatisfied","Very dissatisfied","Totally agree","Totally agree","Agree","Agree","Agree","Neither agree nor disagree","Totally agree","Totally agree","Agree","Totally agree","Agree","","Slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Worse smelling","Neither more nor less marketable","More profitable","Probably yes","Definitely not","Probably not","Important","Very Important","Very Important","Very Important","Very Important","Very Important","Important","Very Important","Very Important","Very Important","Very Important","Very Important","Male","31-50","Poultry farmer/poultry farm manager","","","","","","","","electronic",20
"Neither more nor less damaging to the environment","","Less variable in nutritional content","Higher cost","A much lower disease risk","Has higher microbiological safety","Has lower chemical safety","Neither more or less ethical","Negative","Positive","Negative","Negative","Neither positive nor negative","Positive","Negative","Negative","Positive","Neither positive nor negative","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Uncomfortable","Comfortable","Uncomfortable","Dissatisfied","Satisfied","Dissatisfied","Dissatisfied","Neither satisfied nor dissatisfied","Dissatisfied","Dissatisfied","Dissatisfied","Satisfied","Dissatisfied","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","","Higher feed conversion ratios (less efficient)","Much higher welfare","Lower feed costs","Better for the environment","","","","","Neither more nor less marketable","More profitable","Probably yes","Probably not","Probably yes","Important","Very Important","Very Important","Important","Very Important","Important","Very Important","Important","Important","Important","Neither important nor unimportant","Important","Male","31-50","Poultry farmer/poultry farm manager","","","","","","","","electronic",74
"Less damaging to the environment","Neither more or less nutritious","More variable in nutritional content","Lower cost","A higher disease risk","Has lower microbiological safety","Neither higher nor lower chemical safety","More ethical","Negative","Positive","Negative","Negative","Positive","Positive","Negative","Negative","Positive","Negative","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Comfortable","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","","Neither agree nor disagree","Disagree","Agree","Disagree","Neither faster nor slower growth rates","Has neither higher nor lower feed conversion ratios","Neither higher nor lower welfare","Lower feed costs","Better for the environment","More fatty","","More tasty","Neither better nor worse smelling","Neither more nor less marketable","More profitable","Probably yes","Probably not","Probably yes","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Male","50+","Pig farmer/pig farm manager","","","1000-4999","No","Probably yes","Wet feeding","No","electronic",52
"Less damaging to the environment","Much more nutritious","Less variable in nutritional content","Lower cost","Neither a higher nor lower disease risk","Has lower microbiological safety","Has higher chemical safety","Much more ethical","Neither positive nor negative","Very positive","Very positive","Positive","Very positive","Very positive","Neither positive nor negative","Very positive","Very positive","Very positive","Comfortable","Comfortable","Comfortable","Comfortable","Neither comfortable nor uncomfortable","Comfortable","Very uncomfortable","Comfortable","Comfortable","Neither comfortable nor uncomfortable","Neither satisfied nor dissatisfied","Satisfied","Satisfied","Satisfied","Satisfied","Satisfied","Dissatisfied","Satisfied","Satisfied","Satisfied","Totally agree","Totally agree","Totally agree","Totally agree","Totally agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Agree","Neither agree nor disagree","Totally agree","Neither agree nor disagree","Neither faster nor slower growth rates","Lower feed conversion ratios (more efficient)","Neither higher nor lower welfare","Lower feed costs","Better for the environment","Neither more nor less fatty","Neither lighter nor darker in colour","Neither more nor less tasty","Neither better nor worse smelling","Neither more nor less marketable","Neither more nor less profitable","Probably yes","Probably not","Definitely yes","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Important","Male","50+","Poultry farmer/poultry farm manager","","","","","","","","electronic",46
